"Temperature, (F)","Solution Gas Oil Ratio, (SCF/STB)","Gas Specific Gravity, (-)","API, (-)","Oil Specific Gravity, (-)","Oil Formation Volume Factor, (bbl/STB)","Bubble Point Pressure, (Psi)"
100,602,0.803,33,0.86,1.273,2172
222,340,2.252,29,0.882,1.386,298
180,935.44,1.0689,30.28,0.875,1.5181,3550
180,867,0.799,35.4,0.848,1.458,3297
160,26,1.182,29.2,0.881,1.062,147
120,26,1.182,29.2,0.881,1.041,130
186,368,0.865,41.4,0.818,1.212,1658
175,567,0.782,34.5,0.852,1.318,2401
165,410,1.088,27.49,0.89,1.268,1332
185,866.3,1.0828,31.31,0.869,1.564,3728.4
237,398,1.6561,39.4,0.828,1.385,915
254,390,0.923,36.29,0.843,1.364,1345
135,654,0.861,28.03,0.887,1.326,2784
220,279,1.238,25.55,0.901,1.264,998
190,844.2,1.0576,30.62,0.873,1.4788,3358
219,1417,0.861,33.59,0.857,1.858,4004
180,1063,0.844,31.14,0.87,1.803,3956
188,378,1.4938,42.6,0.813,1.318,915
252,416,2.3873,43.8,0.807,2.3873,265
150,643.53,0.871,35.75,0.846,1.366,2158
190,1066.2,1.021,31.39,0.869,1.5814,4064
190,764.85,1.1495,28.42,0.885,1.3973,2988
140,437,0.847,23.99,0.91,1.236,2084
204,585,0.765,49.1,0.783,1.401,1769
254,821,1.6891,42.2,0.815,1.771,1315
115,692,0.876,41.9,0.816,1.344,1824
360.37,23.956,0.564,21.64,0.924,1.075,1014.974105
140,517,0.92,24.17,0.909,1.269,2164
170,62,0.875,31.6,0.868,1.045,421
190,29,1.185,23.6,0.912,1.075,186
100,700,0.774,32.2,0.864,1.323,2639
120,672,1.0029,29.39,0.879,1.317,2689
100,1507,0.951,39.3,0.828,1.718,2652
85,521,0.801,30.1,0.876,1.222,1990
120,802,0.9677,32.31,0.864,1.3764,3150
248,180,2.342,38.1,0.834,2.342,155
140,700,0.774,32.2,0.864,1.352,2901
296,1018,1.8277,39.9,0.826,1.995,1415
237,241,2.908,39.4,0.828,1.305,315
347.6,59.799,0.611,28.57,0.884,1.185,1815.002278
214,634,0.717,45.3,0.8,1.425,2193
190,835.95,0.9852,30.9,0.871,1.5369,3254
163,706,0.853,31.16,0.87,1.401,2766
185,977,1.0141,31.65,0.867,1.5285,3788
160,45,1.123,21.8,0.923,1.065,246
180,1151,0.894,39.9,0.826,1.636,3030
182,295,1.4276,42.1,0.815,1.278,715
255,403,1.7274,38.1,0.834,1.7274,815
246,141,2.428,38.8,0.831,1.247,100
226,1018,0.865,31.2,0.87,1.647,3184
222,1210,1.3003,29,0.882,1.844,2615
209,355,1.228,35,0.85,1.24,1530
100,1099.1,0.826,34.24,0.854,1.52,3306
160,742,0.752,32.6,0.862,1.372,3204
211,856,0.916,46.6,0.794,1.517,2165
165,1035,0.878,33.23,0.859,1.579,3274
242,844,0.919,40.7,0.822,1.619,2402
248,603,1.3692,38.5,0.832,1.493,1515
238,1184,0.798,36.39,0.843,1.779,3220
190,929,1.0889,30.12,0.875,1.5126,3605
244,631,1.047,33.5,0.858,1.489,1625
268,1561,0.851,38,0.835,2.048,3399
205,100,1.247,26,0.898,1.124,368
230,343,1.16,30.6,0.873,1.301,994
200,753.3,1.077,25.93,0.899,1.4415,3340
185,566,0.817,45.2,0.801,1.334,1530
190,958.2,1.0076,31.26,0.869,1.5264,3826
218,1295,0.831,34,0.855,1.772,3647
100,898,0.802,32.7,0.862,1.411,3127
244,261,1.7871,37.5,0.837,1.313,515
248,96,1.981,37.2,0.839,1.214,133
297,1020,0.708,45.15,0.801,1.887,4358
248,557,1.1955,37.2,0.839,1.468,1680
216,554,0.975,31.71,0.867,1.416,1719
190,694.59,1.14138,26.23,0.897,1.4138,2869
220,464,0.836,35.56,0.847,1.291,2430
150,389,1.002,28.2,0.886,1.226,1437
190,849,1.051,31.54,0.868,1.4809,3363
246,414,1.5786,38.8,0.831,1.41,915
190,724,1.1186,27.72,0.889,1.4247,2928
135,1030.2,0.974,32.35,0.864,1.4854,4003
252,936,1.6433,43.8,0.807,1.6433,1460
246,181,2.2408,38.8,0.831,1.28,172
188,462,1.3614,42.6,0.813,1.354,1315
226,554,0.958,35.84,0.846,1.478,1430
120,532.75,0.859,23.6,0.912,1.265,2516
234,393,1.09,32.01,0.865,1.34,1062
248,251,2.0083,38.5,0.832,1.314,315
349.82,59.079,0.598,28.39,0.885,1.171,2015.009322
325.93,2.161,0.6,15.74,0.961,1.038,100.0035217
135,839.7,1.0015,33.48,0.858,1.4137,3202
252,278,2.688,43.8,0.807,2.688,115
254,213,2.708,42.2,0.815,1.351,95
203,421,1.181,39.8,0.826,1.268,1593
160,127,1.025,25.1,0.904,1.114,584
288,1745,0.708,41.69,0.817,2.1,5789
190,1096.1,1.0243,31.01,0.871,1.5917,4237
100,347,0.933,26.1,0.898,1.165,1405
237,190,2.2778,39.4,0.828,1.275,183
182,373,1.3044,42.1,0.815,1.312,1098
80,585,0.815,33.3,0.859,1.257,1912
100,680,0.755,29.7,0.878,1.304,2687
239,537,0.989,29.41,0.879,1.424,1490
180,214,0.66,31.9,0.866,1.152,1195
120,74,1.093,27.4,0.89,1.059,293
254,333,2.465,42.2,0.815,1.461,195
135,966.47,1.0404,31.37,0.869,1.5386,3726.1
248,433,1.2955,37.2,0.839,1.404,1215
160,29,1.185,23.6,0.912,1.061,174
189,714,0.82,48.7,0.785,1.5,1750
155,469,0.96,36.5,0.842,1.291,1282
80,389,1.002,28.2,0.886,1.177,1205
170,602,0.803,33,0.86,1.323,2558
218,883,0.73,49.3,0.783,1.578,2632
125,168,1.367,30.5,0.873,1.125,343
200,1026,0.9,32.84,0.861,1.596,3446
175,196,0.942,32.1,0.865,1.141,854
246,567,1.3907,38.8,0.831,1.491,1515
100,811,0.812,36.5,0.842,1.371,2617
217,196,1.6882,41,0.82,1.248,315
165,347,0.933,26.1,0.898,1.203,1630
248,582,1.4367,38.1,0.834,1.4376,1482
246,360,1.6812,38.8,0.831,1.383,715
255,410,2.0323,39.2,0.829,1.473,615
231,1784,0.827,36.19,0.844,2.055,4640
333.71,19.633,0.601,24.17,0.909,1.071,664.9980379
254,885,1.6334,42.2,0.815,1.804,1475
130,469,0.97,34.58,0.852,1.265,1428
200,1143,0.951,39.4,0.828,1.647,2636
218,209,1.29,29,0.882,1.216,601
205,765,0.939,48.8,0.785,1.52,2058
222,802,1.5338,29,0.882,1.61,1415
100,1579,0.93,42.8,0.812,1.786,2559
165,650.59,0.904,36.63,0.842,1.385,2209
160,417,0.98,31.2,0.87,1.25,1378
353.15,124.281,0.738,43.62,0.808,1.473,1315.057189
200,733.38,1.059,28.21,0.886,1.4341,3088
160,687,0.885,33.42,0.858,1.365,2567
333.71,25.216,0.596,24.17,0.909,1.083,865.0050814
175,750,0.8,32,0.865,1.387,3223
100,1493,1.008,43.6,0.808,1.734,2172
237,330,1.2758,39.5,0.827,1.335,1165
252,683,1.905,43.8,0.807,1.905,865
325.93,4.143,0.73,15.74,0.961,1.047,227.9993273
180,1023.71,1.032,31.63,0.867,1.568,3950
100,750,0.8,32,0.865,1.333,2751
220,1151,0.894,39.9,0.826,1.686,3218
140,1196,0.768,33.23,0.859,1.561,4565
165,469,0.824,28.8,0.883,1.272,2249
237,325,1.8241,39.4,0.828,1.35,615
237,285,1.9424,39.4,0.828,1.33,465
248,302,1.9308,38.1,0.834,1.358,465
217,563,0.159,48.4,0.787,1.409,6741
296,1757,1.4613,39.9,0.826,2.475,2615
160,74,1.093,27.4,0.89,1.078,331
230,1186,0.825,37.6,0.837,1.753,3172
246,240,2.01,38.8,0.831,1.319,500
281,615,1.922,31.9,0.866,1.552,1915
217,369,1.32,41,0.82,1.324,915
185,597.7,0.938,24.08,0.909,1.363,2745
190,1054,0.819,31.71,0.867,1.564,4057
190,1048.6,1.0032,31.48,0.868,1.568,4059
248,215,1.6611,37.2,0.839,1.292,415
